META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
SAMPLE,upgrade,optimized,verify,46,331042
SAMPLE,upgrade,optimized,verify,47,339500
SAMPLE,upgrade,source,verify,47,361167
SAMPLE,upgrade,source,verify,48,359541
SAMPLE,upgrade,optimized,verify,48,329542
SAMPLE,upgrade,optimized,verify,49,328792
SAMPLE,upgrade,source,verify,49,360000
SAMPLE,upgrade,source,verify,50,359500
SAMPLE,upgrade,optimized,verify,50,330042
SAMPLE,upgrade,optimized,verify,51,328375
SAMPLE,upgrade,source,verify,51,360041
SAMPLE,upgrade,source,verify,52,358875
SAMPLE,upgrade,optimized,verify,52,328333
SAMPLE,upgrade,optimized,verify,53,328500
SAMPLE,upgrade,source,verify,53,360375
SAMPLE,upgrade,source,verify,54,359625
SAMPLE,upgrade,optimized,verify,54,329042
SAMPLE,upgrade,optimized,verify,55,332375
SAMPLE,upgrade,source,verify,55,361291
SAMPLE,upgrade,source,verify,56,360375
SAMPLE,upgrade,optimized,verify,56,46615875
SAMPLE,upgrade,optimized,verify,57,564333
SAMPLE,upgrade,source,verify,57,1833250
SAMPLE,upgrade,source,verify,58,1181791
SAMPLE,upgrade,optimized,verify,58,830125
SAMPLE,upgrade,optimized,verify,59,752500
SAMPLE,upgrade,source,verify,59,902875
SAMPLE,upgrade,source,verify,60,1146458
SAMPLE,upgrade,optimized,verify,60,398875
SAMPLE,upgrade,optimized,verify,61,347041
SAMPLE,upgrade,source,verify,61,371333
SAMPLE,upgrade,source,verify,62,364625
SAMPLE,upgrade,optimized,verify,62,333833
SAMPLE,upgrade,optimized,verify,63,330333
SAMPLE,upgrade,source,verify,63,361334
SAMPLE,upgrade,source,verify,64,361209
SAMPLE,upgrade,optimized,verify,64,331709
SAMPLE,upgrade,optimized,verify,65,328875
SAMPLE,upgrade,source,verify,65,360708
SAMPLE,upgrade,source,verify,66,359000
SAMPLE,upgrade,optimized,verify,66,328750
SAMPLE,upgrade,optimized,verify,67,328208
SAMPLE,upgrade,source,verify,67,360834
SAMPLE,upgrade,source,verify,68,358916
SAMPLE,upgrade,optimized,verify,68,328292
SAMPLE,upgrade,optimized,verify,69,327792
SAMPLE,upgrade,source,verify,69,359416
SAMPLE,upgrade,source,verify,70,358291
SAMPLE,upgrade,optimized,verify,70,327709
SAMPLE,upgrade,optimized,verify,71,327791
SAMPLE,upgrade,source,verify,71,505167
SAMPLE,upgrade,source,verify,72,32825792
SAMPLE,upgrade,optimized,verify,72,361166
SAMPLE,upgrade,optimized,verify,73,336000
SAMPLE,upgrade,source,verify,73,368167
SAMPLE,upgrade,source,verify,74,361083
SAMPLE,upgrade,optimized,verify,74,330375
