META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,133,1143175
VERIFY_SWEEP,session-01,admission,expiry-none,source,133,1509055
VERIFY_SWEEP,session-01,admission,expiry-none,source,134,1463409
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,134,1157131
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,135,1162261
VERIFY_SWEEP,session-01,admission,expiry-none,source,135,1495379
VERIFY_SWEEP,session-01,admission,expiry-none,source,136,1507222
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,136,1252481
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,137,1194402
VERIFY_SWEEP,session-01,admission,expiry-none,source,137,1550393
VERIFY_SWEEP,session-01,admission,expiry-none,source,138,1614193
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,138,1227694
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,139,1211615
VERIFY_SWEEP,session-01,admission,expiry-none,source,139,1582683
VERIFY_SWEEP,session-01,admission,expiry-none,source,140,1465663
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,140,1154186
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,141,1137645
VERIFY_SWEEP,session-01,admission,expiry-none,source,141,1464701
VERIFY_SWEEP,session-01,admission,expiry-none,source,142,1465623
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,142,1130261
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,143,1137034
VERIFY_SWEEP,session-01,admission,expiry-none,source,143,1483897
VERIFY_SWEEP,session-01,admission,expiry-none,source,144,1473137
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,144,1140389
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,145,1147212
VERIFY_SWEEP,session-01,admission,expiry-none,source,145,1498185
VERIFY_SWEEP,session-01,admission,expiry-none,source,146,1500138
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,146,1177490
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,147,1086488
VERIFY_SWEEP,session-01,admission,expiry-none,source,147,1452057
VERIFY_SWEEP,session-01,admission,expiry-none,source,148,1462807
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,148,1138567
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,149,1141723
VERIFY_SWEEP,session-01,admission,expiry-none,source,149,1486633
VERIFY_SWEEP,session-01,admission,expiry-none,source,150,1492334
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,150,1170336
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,151,1195734
VERIFY_SWEEP,session-01,admission,expiry-none,source,151,1524674
VERIFY_SWEEP,session-01,admission,expiry-none,source,152,1541977
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,152,1157232
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,153,1168723
VERIFY_SWEEP,session-01,admission,expiry-none,source,153,1522620
VERIFY_SWEEP,session-01,admission,expiry-none,source,154,1506600
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,154,1171488
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,155,1151651
VERIFY_SWEEP,session-01,admission,expiry-none,source,155,1532900
VERIFY_SWEEP,session-01,admission,expiry-none,source,156,1513042
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,156,1205673
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,157,1151120
VERIFY_SWEEP,session-01,admission,expiry-none,source,157,1454082
VERIFY_SWEEP,session-01,admission,expiry-none,source,158,1499758
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,158,1167050
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,159,1142143
VERIFY_SWEEP,session-01,admission,expiry-none,source,159,1532849
VERIFY_SWEEP,session-01,admission,expiry-none,source,160,1515066
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,160,1284381
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,161,1194131
VERIFY_SWEEP,session-01,admission,expiry-none,source,161,1549972
VERIFY_SWEEP,session-01,admission,expiry-none,source,162,1527600
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,162,1190173
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,163,1177169
VERIFY_SWEEP,session-01,admission,expiry-none,source,163,1568177
VERIFY_SWEEP,session-01,admission,expiry-none,source,164,1547738
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,164,1185365
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,165,1174394
VERIFY_SWEEP,session-01,admission,expiry-none,source,165,1522049
VERIFY_SWEEP,session-01,admission,expiry-none,source,166,1563828
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,166,1125051
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,167,1127165
VERIFY_SWEEP,session-01,admission,expiry-none,source,167,1520847
VERIFY_SWEEP,session-01,admission,expiry-none,source,168,1438111
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,168,1141723
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,169,1142964
VERIFY_SWEEP,session-01,admission,expiry-none,source,169,1508023
VERIFY_SWEEP,session-01,admission,expiry-none,source,170,1522150
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,170,1180165
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,171,1169325
VERIFY_SWEEP,session-01,admission,expiry-none,source,171,1537078
VERIFY_SWEEP,session-01,admission,expiry-none,source,172,1490780
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,172,1166980
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,173,1156500
VERIFY_SWEEP,session-01,admission,expiry-none,source,173,1523903
VERIFY_SWEEP,session-01,admission,expiry-none,source,174,1519565
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,174,1165176
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,175,1121424
VERIFY_SWEEP,session-01,admission,expiry-none,source,175,1506069
